level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	426	444	333	208	-1	
3	1	1	1	0	0	426	444	333	208	-1	
4	1	1	1	1	0	426	444	190	23	-1	
5	1	1	1	1	1	426	444	190	23	96	MICHELIN
4	1	1	1	2	0	427	491	308	24	-1	
5	1	1	1	2	1	427	491	188	24	95	CAMPBELL
5	1	1	1	2	2	642	491	93	23	96	ROAD
4	1	1	1	3	0	428	536	307	24	-1	
5	1	1	1	3	1	428	536	187	24	94	CAMPBELL
5	1	1	1	3	2	642	536	93	23	96	ROAD
4	1	1	1	4	0	428	582	331	24	-1	
5	1	1	1	4	1	428	582	115	24	96	STOKE
5	1	1	1	4	2	571	582	46	24	95	ON
5	1	1	1	4	3	643	582	116	23	95	TRENT
4	1	1	1	5	0	429	629	163	23	-1	
5	1	1	1	5	1	429	629	64	23	90	ST4
5	1	1	1	5	2	524	629	68	22	67	4EY
2	1	2	0	0	0	255	860	229	30	-1	
3	1	2	1	0	0	255	860	229	30	-1	
4	1	2	1	1	0	255	860	229	30	-1	
5	1	2	1	1	1	255	863	94	23	96	Dear
5	1	2	1	1	2	377	860	107	30	95	Sirs,
2	1	3	0	0	0	1401	209	715	213	-1	
3	1	3	1	0	0	1402	209	261	26	-1	
4	1	3	1	1	0	1402	209	261	26	-1	
5	1	3	1	1	1	1402	212	68	23	90	BOC
5	1	3	1	1	2	1498	209	165	26	95	Limited
3	1	3	2	0	0	1401	255	715	167	-1	
4	1	3	2	1	0	1404	255	591	33	-1	
5	1	3	2	1	1	1404	258	43	24	96	PO
5	1	3	2	1	2	1474	259	69	22	95	Box
5	1	3	2	1	3	1571	258	65	23	91	278
5	1	3	2	1	4	1695	276	7	9	91	,
5	1	3	2	1	5	1738	255	188	33	96	Building
5	1	3	2	1	6	1955	257	40	23	96	12
4	1	3	2	2	0	1401	301	715	34	-1	
5	1	3	2	2	1	1401	305	165	30	95	Vantage
5	1	3	2	2	2	1596	302	113	26	96	Point
5	1	3	2	2	3	1738	302	186	26	95	Business
5	1	3	2	2	4	1952	301	164	34	96	Village
4	1	3	2	3	0	1401	351	502	28	-1	
5	1	3	2	3	1	1401	351	277	28	90	MITCHELDEAN,
5	1	3	2	3	2	1714	351	90	24	87	GL17
5	1	3	2	3	3	1836	351	67	23	76	1BX
4	1	3	2	4	0	1404	399	232	23	-1	
5	1	3	2	4	1	1404	399	232	23	94	26.05.2017
2	1	4	0	0	0	256	905	1522	34	-1	
3	1	4	1	0	0	256	905	1522	34	-1	
4	1	4	1	1	0	256	905	1522	34	-1	
5	1	4	1	1	1	256	907	68	25	96	The
5	1	4	1	1	2	354	906	210	32	96	following
5	1	4	1	1	3	594	906	184	26	96	invoices
5	1	4	1	1	4	806	906	91	25	96	will
5	1	4	1	1	5	926	907	44	24	96	be
5	1	4	1	1	6	997	906	95	33	96	paid
5	1	4	1	1	7	1118	905	138	26	96	direct
5	1	4	1	1	8	1287	909	43	22	96	to
5	1	4	1	1	9	1357	912	93	26	96	your
5	1	4	1	1	10	1476	906	94	24	96	bank
5	1	4	1	1	11	1597	907	181	23	96	account.
2	1	5	0	0	0	254	952	902	33	-1	
3	1	5	1	0	0	254	952	902	33	-1	
4	1	5	1	1	0	254	952	902	33	-1	
5	1	5	1	1	1	254	955	93	23	92	Acct
5	1	5	1	1	2	375	955	62	23	95	No.
5	1	5	1	1	3	474	954	184	24	96	05200105
5	1	5	1	1	4	735	952	93	25	96	Bank
5	1	5	1	1	5	856	954	68	31	96	Key
5	1	5	1	1	6	953	953	203	24	96	55-61-01.
2	1	6	0	0	0	259	994	1981	37	-1	
3	1	6	1	0	0	259	994	1981	37	-1	
